Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RP","Pesticides Use","170","Colombia","5159","Use per area of cropland","1357","Pesticides (total)","1990","1990","kg/ha","3.61","E","Estimated value",""
"RP","Pesticides Use","170","Colombia","5159","Use per area of cropland","1357","Pesticides (total)","1991","1991","kg/ha","3.5","E","Estimated value",""
"RP","Pesticides Use","170","Colombia","5159","Use per area of cropland","1357","Pesticides (total)","1992","1992","kg/ha","3.12","E","Estimated value",""
"RP","Pesticides Use","170","Colombia","5159","Use per area of cropland","1357","Pesticides (total)","1993","1993","kg/ha","3.1","E","Estimated value",""
"RP","Pesticides Use","170","Colombia","5159","Use per area of cropland","1357","Pesticides (total)","1994","1994","kg/ha","3.57","E","Estimated value",""
"RP","Pesticides Use","170","Colombia","5159","Use per area of cropland","1357","Pesticides (total)","1995","1995","kg/ha","4.55","E","Estimated value",""
"RP","Pesticides Use","170","Colombia","5159","Use per area of cropland","1357","Pesticides (total)","1996","1996","kg/ha","4.43","E","Estimated value",""
"RP","Pesticides Use","170","Colombia","5159","Use per area of cropland","1357","Pesticides (total)","1997","1997","kg/ha","3.76","E","Estimated value",""
"RP","Pesticides Use","170","Colombia","5159","Use per area of cropland","1357","Pesticides (total)","1998","1998","kg/ha","13.86","E","Estimated value",""
"RP","Pesticides Use","170","Colombia","5159","Use per area of cropland","1357","Pesticides (total)","1999","1999","kg/ha","15.14","E","Estimated value",""
"RP","Pesticides Use","170","Colombia","5159","Use per area of cropland","1357","Pesticides (total)","2000","2000","kg/ha","16.69","E","Estimated value",""
"RP","Pesticides Use","170","Colombia","5159","Use per area of cropland","1357","Pesticides (total)","2001","2001","kg/ha","20.68","E","Estimated value",""
"RP","Pesticides Use","170","Colombia","5159","Use per area of cropland","1357","Pesticides (total)","2002","2002","kg/ha","22.49","E","Estimated value",""
"RP","Pesticides Use","170","Colombia","5159","Use per area of cropland","1357","Pesticides (total)","2003","2003","kg/ha","23.68","E","Estimated value",""
"RP","Pesticides Use","170","Colombia","5159","Use per area of cropland","1357","Pesticides (total)","2004","2004","kg/ha","28.46","E","Estimated value",""
"RP","Pesticides Use","170","Colombia","5159","Use per area of cropland","1357","Pesticides (total)","2005","2005","kg/ha","32.63","E","Estimated value",""
"RP","Pesticides Use","170","Colombia","5159","Use per area of cropland","1357","Pesticides (total)","2006","2006","kg/ha","29.18","E","Estimated value",""
"RP","Pesticides Use","170","Colombia","5159","Use per area of cropland","1357","Pesticides (total)","2007","2007","kg/ha","23.09","E","Estimated value",""
"RP","Pesticides Use","170","Colombia","5159","Use per area of cropland","1357","Pesticides (total)","2008","2008","kg/ha","14.02","E","Estimated value",""
"RP","Pesticides Use","170","Colombia","5159","Use per area of cropland","1357","Pesticides (total)","2009","2009","kg/ha","15.34","E","Estimated value",""
"RP","Pesticides Use","170","Colombia","5159","Use per area of cropland","1357","Pesticides (total)","2010","2010","kg/ha","14.5","E","Estimated value",""
"RP","Pesticides Use","170","Colombia","5159","Use per area of cropland","1357","Pesticides (total)","2011","2011","kg/ha","15.78","E","Estimated value",""
"RP","Pesticides Use","170","Colombia","5159","Use per area of cropland","1357","Pesticides (total)","2012","2012","kg/ha","14.11","E","Estimated value",""
"RP","Pesticides Use","170","Colombia","5159","Use per area of cropland","1357","Pesticides (total)","2013","2013","kg/ha","15.82","E","Estimated value",""
"RP","Pesticides Use","170","Colombia","5159","Use per area of cropland","1357","Pesticides (total)","2014","2014","kg/ha","20.74","E","Estimated value",""
"RP","Pesticides Use","170","Colombia","5159","Use per area of cropland","1357","Pesticides (total)","2015","2015","kg/ha","9.19","E","Estimated value",""
"RP","Pesticides Use","170","Colombia","5159","Use per area of cropland","1357","Pesticides (total)","2016","2016","kg/ha","8.59","E","Estimated value",""
"RP","Pesticides Use","170","Colombia","5159","Use per area of cropland","1357","Pesticides (total)","2017","2017","kg/ha","9.72","E","Estimated value",""
"RP","Pesticides Use","170","Colombia","5159","Use per area of cropland","1357","Pesticides (total)","2018","2018","kg/ha","8.49","E","Estimated value",""
"RP","Pesticides Use","170","Colombia","5159","Use per area of cropland","1357","Pesticides (total)","2019","2019","kg/ha","15.13","E","Estimated value",""
"RP","Pesticides Use","170","Colombia","5159","Use per area of cropland","1357","Pesticides (total)","2020","2020","kg/ha","8.07","E","Estimated value",""
"RP","Pesticides Use","170","Colombia","5159","Use per area of cropland","1357","Pesticides (total)","2021","2021","kg/ha","8.74","E","Estimated value",""
